new_index,dividendyield,earningsyield,ebitdagrowth,evtoebit,evtoebitda,evtofcff,evtoinvestedcapital,evtonopat,freecashflow,pricetoearnings,revenuegrowth
A2018-01-31,-0.5988795069930293,-1.0429014469435254,-0.03516212830968534,-0.03656259180350102,0.5924916915342976,-0.17269539953695787,-0.061107378529426076,0.46779156396059235,-0.45106481192463616,0.4410493133114399,-0.0650401510457711
AAL2017-12-31,-0.5857930094139674,0.5988743136928129,-0.1900225533611761,-0.2835492981413082,-0.7641762853587454,3.2738490956580444,-0.14294987453697633,-0.21385037390351008,0.45767042983780504,-0.21741438002419072,-0.3249241511796364
AAL2018-03-31,-0.4963763711513379,0.6013585731736104,-0.17832734269085534,-0.2836958644857051,-0.7647771952197552,3.2710821311667813,-0.14297809349247725,-0.21394922428668312,0.507705928740057,-0.2175244518444186,-0.2951341563782483
ABBV2017-12-31,0.2970565799322137,-0.4038318446655045,-0.12340903323780991,-0.08927302217840456,0.42831897330046703,0.024804439654613698,-0.09914464928100429,-0.1284732258034099,-0.12269012680254127,-0.12037200576074931,0.017979014342613828
ABC2017-12-31,-0.193570651368204,-0.0584459869490866,-0.2941321718789948,-0.12785618126338738,-0.06123607415535485,-0.3061468939522911,-0.08704059863479753,-0.20671005717445762,-0.23653949349837422,-0.17229960997346605,-0.34111600224788463
ACN2018-02-28,0.14011175131499415,-0.4104729343666462,-0.1441404318069581,-0.11407722058015096,0.2926273103755348,-0.19153925692625132,0.11124647661556572,-0.14915820963409665,-0.04773715612579435,-0.11895391381014708,-0.015068512626350904
ADBE2018-03-02,-0.9445306992770065,-0.8051504356426498,0.024017555933407903,0.23141069074199858,2.2070121618896383,-0.19396689190542057,0.25454609517678123,0.0392383545877349,-0.05109523474617028,0.04212641093152488,1.0494875248936901
ADP2017-12-31,-0.009614546609148596,-0.43120789221132233,-0.15410227797834838,-0.10526944543686834,0.34862589311274644,-0.04840298426538467,0.042495694696755425,-0.12575664410526088,-0.41154772107519133,-0.11437186853810632,-0.2506168312730266
ADS2017-12-31,-0.561482860886315,0.12292955177765214,-0.04786584938190322,-0.22220007499666194,-0.4028429696246125,-0.2883532271882095,-0.14084285919290554,-0.19727381402747418,-0.28287380182500055,-0.18907455537619158,-0.1128560696484128
AEE2017-12-31,0.4710464552182468,-0.353162789908645,-0.1146924178378434,-0.2119973331167083,-0.5899538677252673,3.0579872228327862,-0.15174666359847194,-0.10588483094490984,-0.546680532935801,-0.13050411681272364,-0.5564073981718154
AFL2017-12-31,2.7696594837227275,11.764833587764755,-0.13681801775578992,-0.4315295766840875,-1.3416092197298362,-0.28973026901605525,-0.17241046407996632,-0.3267331822732353,-0.4336939046975455,-0.2873766404711296,-0.9357593374850588
AIV2017-12-31,0.6045194162915261,-0.5043090721809272,-0.15741473059744882,1.7004572308009975,0.18773745808478015,-0.3590549260633847,-0.0932619376909066,0.2940840223711427,-0.4805451264189155,-0.09619044987691369,-0.9062773026574962
AIZ2017-12-31,0.054700233307878154,1.0452293314951084,-0.21887509315936085,-0.2570380329048222,-0.26777293759037996,-0.29734324536508994,-0.15911745477531963,-0.26459669725344837,-0.48126657445084386,-0.23329529764262114,-1.667328520640031
ALGN2017-12-31,-0.9445306992770065,-0.9331020972179814,0.07590910976505749,0.3442564300679558,2.916831754950107,0.12193036765307598,0.7983310114711546,0.20773424422347145,-0.5219463187945168,0.18152014104785935,1.8238289266355396
ALK2017-12-31,-0.1805307249549039,1.5472711162729043,-0.15135550541470302,-0.33891861443456367,-0.9143105059776042,-0.3095691709532689,-0.13851761725962738,-0.27599479581537656,-0.39835346815483214,-0.245092550730598,1.6398604818271503
ALL2017-12-31,-0.2829872896308336,0.7164707946600679,0.04186300668717177,-0.28543396889925815,-0.5282777228529971,-0.2179175980728139,-0.15022095873772068,-0.24308266896826672,-0.29586058920696223,-0.22229912280185812,-0.29913763603797994
ALLE2017-12-31,-0.5689808185739625,-0.3577131661853532,0.0038057177615138608,-0.181490841762958,0.011536182115907689,-0.18477239046383812,-0.06499030680635656,-0.16182260325054054,-0.5117890700900777,-0.12964372208460923,-0.14971545673783995
ALXN2017-12-31,-0.9445306992770065,-0.841651832370407,-0.10690350140328046,0.3121446061655767,1.092769871854692,-0.16273448837885438,-0.1283023553682841,0.0648535914711314,-0.43126955451138166,0.0729018803571216,0.36609696875497627
ALXN2018-03-31,-0.9445306992770065,-0.8121604747716328,-0.10510769170342316,0.2618051019500337,0.9239245614257675,-0.17566604224070004,-0.1315400101960929,0.038811205486724454,-0.46311542187807003,0.04762388684179401,0.0866267142858081
AME2017-12-31,-0.7127925784463583,-0.24855332880140066,-0.0854872463167776,-0.12796653709916855,0.18582076283845567,-0.0026208719082677443,-0.11500746479993736,-0.1764243200700469,-0.5097773219162439,-0.14816758640873295,0.1497653524750127
AMG2017-12-31,-0.762996295137564,0.16385834163950364,-0.11445733002258934,-0.24296766384272622,-0.27243516927062883,-0.30562964789886177,-0.14004332212037868,-0.23977009882850522,-0.33753613656707865,-0.19226480363246234,-0.4429001953747043
AMGN2017-12-31,0.29640458361154853,-0.8653383856378125,-0.12158710266959102,-0.2844390420672937,-0.5738743486858311,-0.31408028108617386,-0.0581349818833262,0.08302330204823319,1.4731493248582985,0.09601573958474698,-0.7124336080217691
AMGN2018-03-31,0.3585305187377714,-0.8576888341672382,-0.12559012574600026,-0.2884153007752831,-0.5941291552078013,-0.31514133991639937,-0.060635181340710206,0.07420397187652658,1.4951362357345015,0.08824833813733449,-0.6668829061154885
